City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
298,Grand Gaube,MU,-20.0064,57.6608,66.38,77,0,7.0,clear sky
299,Tsumeb,NA,-19.2333,17.7167,48.51,38,0,10.76,clear sky
300,Koslan,RU,63.4564,48.8989,60.12,93,65,4.23,broken clouds
301,Rezina,MD,47.7492,28.9622,69.46,59,0,3.47,clear sky
302,Masoko,TZ,-9.3333,33.75,61.39,90,49,1.77,scattered clouds
303,Kulhudhuffushi,MV,6.6221,73.07,82.56,78,100,15.28,overcast clouds
304,Contamana,PE,-7.3333,-75.0167,78.51,65,49,2.82,scattered clouds
305,Zyryanka,RU,65.75,150.85,59.77,73,100,29.51,overcast clouds
306,Rocha,UY,-34.4833,-54.3333,51.91,96,100,9.44,overcast clouds
307,Todos Santos,MX,23.45,-110.2167,93.11,73,15,4.56,few clouds
308,San Andres,CO,12.5847,-81.7006,81.97,84,71,19.35,broken clouds
309,Makinsk,KZ,52.6292,70.4169,42.51,83,100,15.14,light rain
310,Karratha,AU,-20.7377,116.8463,68.07,50,5,14.81,clear sky
311,Christchurch,NZ,-43.5333,172.6333,53.91,71,100,5.99,light rain
312,Ossora,RU,59.2353,163.0719,56.16,98,100,7.54,moderate rain
313,Kruisfontein,ZA,-34.0033,24.7314,46.44,42,100,6.51,overcast clouds
314,Wooster,US,40.8051,-81.9351,78.15,87,75,0.0,broken clouds
315,Chuy,UY,-33.6971,-53.4616,53.29,96,100,12.24,moderate rain
316,Brae,GB,60.3964,-1.353,53.51,82,45,21.9,scattered clouds
317,Codrington,AU,-38.2667,141.9667,55.56,75,100,16.58,overcast clouds
318,Viramgam,IN,23.1225,72.0484,82.63,73,94,5.41,overcast clouds
319,Svetlyy,RU,54.675,20.1347,75.25,88,92,7.85,light rain
320,Dingle,PH,10.9995,122.6711,83.48,77,56,4.61,light rain
321,Eyl,SO,7.9803,49.8164,78.48,70,100,22.24,overcast clouds
322,Hofn,IS,64.2539,-15.2082,52.43,65,5,7.47,clear sky
323,Murgab,TM,37.4966,61.9714,73.27,35,0,6.91,clear sky
324,Dhidhdhoo,MV,6.8833,73.1,82.53,78,100,15.59,overcast clouds
325,Lavrentiya,RU,65.5833,-171.0,53.44,78,63,7.72,broken clouds
326,Te Anau,NZ,-45.4167,167.7167,47.8,90,100,0.51,light rain
